T = 1.5707963267948966 2 3 4 5 6 7 8

0.01 2.2e-03 1.3e-03 3.1e-03 4.7e-03 1.1e-02 2.3e-02 5.4e-02
0.02 4.3e-03 2.7e-03 6.3e-03 9.8e-03 2.3e-02 4.9e-02 1.2e-01
0.03 6.4e-03 4.1e-03 9.7e-03 1.5e-02 3.5e-02 7.7e-02 1.9e-01
0.04 8.5e-03 5.6e-03 1.3e-02 2.1e-02 4.9e-02 1.1e-01 2.6e-01
0.05 1.1e-02 7.1e-03 1.7e-02 2.8e-02 6.4e-02 1.4e-01 3.5e-01
0.06 1.3e-02 8.7e-03 2.1e-02 3.5e-02 8.1e-02 1.8e-01 4.5e-01
0.07 1.5e-02 1.0e-02 2.5e-02 4.2e-02 9.8e-02 2.2e-01 5.6e-01
0.08 1.7e-02 1.2e-02 2.9e-02 5.0e-02 1.2e-01 2.7e-01 6.8e-01
0.09 1.9e-02 1.4e-02 3.3e-02 5.8e-02 1.4e-01 3.2e-01 8.1e-01
0.10 2.1e-02 1.6e-02 3.7e-02 6.7e-02 1.6e-01 3.8e-01 9.6e-01
